measurement_time,gadget_id,vibration_x,vibration_y,pressure,temperature,Unnamed: 10,Unnamed: 11,failure_time,time_to_fail,fail_in_1h,temperature_6h_std,pressure_6h_mean
2020-07-15 10:59:59.945000000,1,10,9,15.0,33.09886139859808,,,2020-07-15 21:49:25.197701400,0 days 10:49:25.252701400,0,4.588725009803203,16.666666666666668
2020-07-15 11:59:59.940000000,1,10,8,16.0,23.952715609496142,,,2020-07-15 21:49:25.197701400,0 days 09:49:25.257701400,0,14.307419595892167,16.5
2020-07-15 12:59:59.935000000,1,5,3,19.0,24.413577563209273,,,2020-07-15 21:49:25.197701400,0 days 08:49:25.262701400,0,1.7231775206339959,15.666666666666666
2020-07-15 13:59:59.930000000,1,10,10,15.0,23.621365820299697,,,2020-07-15 21:49:25.197701400,0 days 07:49:25.267701400,0,1.8577394605877173,15.333333333333334
2020-07-15 14:59:59.925000000,1,10,2,15.0,20.930402998508228,,,2020-07-15 21:49:25.197701400,0 days 06:49:25.272701400,0,3.028173727431716,17.666666666666668
2020-07-15 15:59:59.920000000,1,8,10,11.0,28.282488729373352,,,2020-07-15 21:49:25.197701400,0 days 05:49:25.277701400,0,10.62520180898511,14.5
2020-07-15 16:59:59.915000000,1,1,4,15.0,18.411962764099737,,,2020-07-15 21:49:25.197701400,0 days 04:49:25.282701400,0,2.8969497491487757,15.166666666666666
2020-07-15 17:59:59.910000000,1,6,6,16.0,17.58070228637685,,,2020-07-15 21:49:25.197701400,0 days 03:49:25.287701400,0,3.427493731654895,13.833333333333334
2020-07-15 18:59:59.905000000,1,7,2,11.0,24.41224072825043,,,2020-07-15 21:49:25.197701400,0 days 02:49:25.292701400,0,1.6187142852275673,16.5
2020-07-15 19:59:59.900000000,1,4,1,11.0,23.141608756227377,,,2020-07-15 21:49:25.197701400,0 days 01:49:25.297701400,0,10.202833386630168,13.833333333333334
2020-07-15 20:59:59.895000000,1,6,7,15.0,13.982764643035035,,,2020-07-15 21:49:25.197701400,0 days 00:49:25.302701400,1,4.169632917471817,12.5
2020-07-15 21:59:59.890000000,1,4,2,12.0,19.382635389334528,,,2020-07-16 00:51:15.832103640,0 days 02:51:15.942103640,0,4.2864240774889355,17.0
2020-07-15 22:59:59.885000000,1,5,1,10.0,12.455198801581314,,,2020-07-16 00:51:15.832103640,0 days 01:51:15.947103640,0,1.2419041027860327,15.5
2020-07-15 23:59:59.880000000,1,5,10,17.0,37.58027235815755,,,2020-07-16 00:51:15.832103640,0 days 00:51:15.952103640,1,9.833887450795903,15.333333333333334
2020-07-16 00:59:59.875000000,1,9,9,13.0,33.27264754916507,,,2020-07-16 01:11:46.349668720,0 days 00:11:46.474668720,1,5.413350790073308,15.666666666666666
2020-07-16 01:59:59.870000000,1,3,7,18.0,32.9891843223554,,,2020-07-16 02:22:18.964504160,0 days 00:22:19.094504160,1,2.0869742144655463,14.5
2020-07-16 02:59:59.865000000,1,7,5,14.0,35.454403611782716,,,2020-07-16 04:43:07.219194280,0 days 01:43:07.354194280,0,2.035733684883042,16.166666666666668
2020-07-16 03:59:59.860000000,1,9,10,14.0,40.02025813054073,,,2020-07-16 04:43:07.219194280,0 days 00:43:07.359194280,1,,
2020-07-16 04:59:59.855000000,1,5,4,19.0,37.06106469494229,,,2020-07-17 02:02:01.127749340,0 days 21:02:01.272749340,0,3.060867201205986,15.333333333333334
2020-07-16 05:59:59.850000000,1,4,3,19.0,32.76318965305212,,,2020-07-17 02:02:01.127749340,0 days 20:02:01.277749340,0,5.664166599428664,15.833333333333334
2020-07-16 06:59:59.845000000,1,7,3,12.0,37.58446552737624,,,2020-07-17 02:02:01.127749340,0 days 19:02:01.282749340,0,5.7805224342123775,14.666666666666666
2020-07-16 07:59:59.840000000,1,7,1,20.0,30.33093856536873,,,2020-07-17 02:02:01.127749340,0 days 18:02:01.287749340,0,2.458459180238497,15.333333333333334
2020-07-16 08:59:59.835000000,1,3,7,14.0,27.84968839060377,,,2020-07-17 02:02:01.127749340,0 days 17:02:01.292749340,0,5.569588508308109,15.333333333333334
2020-07-16 09:59:59.830000000,1,1,2,12.0,29.050981057710644,,,2020-07-17 02:02:01.127749340,0 days 16:02:01.297749340,0,2.811176690936945,15.833333333333334
2020-07-16 10:59:59.825000000,1,4,6,17.0,29.26760421179421,,,2020-07-17 02:02:01.127749340,0 days 15:02:01.302749340,0,21.332560307278445,14.666666666666666
2020-07-16 11:59:59.820000000,1,6,10,19.0,31.140501630038443,,,2020-07-17 02:02:01.127749340,0 days 14:02:01.307749340,0,2.395355652326542,14.333333333333334
2020-07-16 12:59:59.815000000,1,6,4,19.0,21.061046248886303,,,2020-07-17 02:02:01.127749340,0 days 13:02:01.312749340,0,3.31179597340177,14.666666666666666
2020-07-16 13:59:59.810000000,1,4,2,18.0,30.368181109563807,,,2020-07-17 02:02:01.127749340,0 days 12:02:01.317749340,0,6.162314168932319,15.333333333333334
2020-07-16 14:59:59.805000000,1,7,1,19.0,23.90552937002068,,,2020-07-17 02:02:01.127749340,0 days 11:02:01.322749340,0,4.617737250397396,14.666666666666666
2020-07-16 15:59:59.800000000,1,7,9,11.0,26.590956623027438,,,2020-07-17 02:02:01.127749340,0 days 10:02:01.327749340,0,19.615089574151902,14.333333333333334
2020-07-16 16:59:59.795000000,1,10,7,13.0,25.063293518496188,,,2020-07-17 02:02:01.127749340,0 days 09:02:01.332749340,0,1.3581361205390463,15.166666666666666
2020-07-16 17:59:59.790000000,1,1,8,20.0,17.262817405175333,,,2020-07-17 02:02:01.127749340,0 days 08:02:01.337749340,0,1.195569794015269,14.666666666666666
2020-07-16 18:59:59.785000000,1,1,10,18.0,17.520434683943588,,,2020-07-17 02:02:01.127749340,0 days 07:02:01.342749340,0,11.560113890498986,14.666666666666666
2020-07-16 19:59:59.780000000,1,3,2,17.0,21.779283535526837,,,2020-07-17 02:02:01.127749340,0 days 06:02:01.347749340,0,9.925508502057179,15.333333333333334
2020-07-16 20:59:59.775000000,1,7,3,10.0,21.516433439388344,,,2020-07-17 02:02:01.127749340,0 days 05:02:01.352749340,0,1.572087384434025,14.666666666666666
2020-07-16 21:59:59.770000000,1,9,4,19.0,16.29157987801581,,,2020-07-17 02:02:01.127749340,0 days 04:02:01.357749340,0,3.9970611122442943,15.833333333333334
2020-07-16 22:59:59.765000000,1,4,2,12.0,13.286106920670235,,,2020-07-17 02:02:01.127749340,0 days 03:02:01.362749340,0,7.289574894095205,14.666666666666666
2020-07-16 23:59:59.760000000,1,8,10,18.0,35.07195450298416,,,2020-07-17 02:02:01.127749340,0 days 02:02:01.367749340,0,7.8688524520487135,15.333333333333334
2020-07-17 00:59:59.755000000,1,7,10,15.0,43.21058386617979,,,2020-07-17 02:02:01.127749340,0 days 01:02:01.372749340,0,2.0718015897191204,15.833333333333334
2020-07-17 01:59:59.750000000,1,1,7,15.0,41.44625946492248,,,2020-07-17 02:02:01.127749340,0 days 00:02:01.377749340,1,1.8283282002308519,14.666666666666666
2020-07-17 02:59:59.745000000,1,8,9,12.0,36.05460480540969,,,2020-07-17 07:51:38.313887500,0 days 04:51:38.568887500,0,2.128240080839526,14.666666666666666
2020-07-17 03:59:59.740000000,1,5,5,14.0,32.113803948996825,,,2020-07-17 07:51:38.313887500,0 days 03:51:38.573887500,0,4.438684164204438,15.166666666666666
2020-07-17 04:59:59.735000000,1,2,6,20.0,29.70271636937152,,,2020-07-17 07:51:38.313887500,0 days 02:51:38.578887500,0,5.396188045593153,14.666666666666666
2020-07-17 05:59:59.730000000,1,8,1,16.0,29.427528468227482,,,2020-07-17 07:51:38.313887500,0 days 01:51:38.583887500,0,1.5072808832776283,15.333333333333334
2020-07-17 06:59:59.725000000,1,7,7,10.0,34.553897169885076,,,2020-07-17 07:51:38.313887500,0 days 00:51:38.588887500,1,5.924324696809262,14.333333333333334
2020-07-17 07:59:59.720000000,1,9,4,11.0,34.98218533960417,,,2020-07-17 14:37:13.504256720,0 days 06:37:13.784256720,0,,
2020-07-17 08:59:59.715000000,1,1,8,16.0,27.718843042491514,,,2020-07-17 14:37:13.504256720,0 days 05:37:13.789256720,0,5.194193399708357,14.5
2020-07-17 09:59:59.710000000,1,4,9,14.0,30.18666907677856,,,2020-07-17 14:37:13.504256720,0 days 04:37:13.794256720,0,5.162087688040161,15.5
2020-07-17 10:59:59.705000000,1,4,6,17.0,33.829844888516696,,,2020-07-17 14:37:13.504256720,0 days 03:37:13.799256720,0,5.24444574952937,13.833333333333334
2020-07-17 11:59:59.700000000,1,9,7,11.0,26.931432465149232,,,2020-07-17 14:37:13.504256720,0 days 02:37:13.804256720,0,1.1234188926330493,16.333333333333332
2020-07-17 12:59:59.695000000,1,2,4,10.0,21.292871032521255,,,2020-07-17 14:37:13.504256720,0 days 01:37:13.809256720,0,5.642441582995137,16.333333333333332
2020-07-17 13:59:59.690000000,1,1,9,16.0,20.071015625684915,,,2020-07-17 14:37:13.504256720,0 days 00:37:13.814256720,1,2.69663715170201,15.333333333333334
2020-07-17 14:59:59.685000000,1,6,4,18.0,23.060524611420757,,,2020-07-19 03:15:13.974547560,1 days 12:15:14.289547560,0,7.3096909499265665,13.666666666666666
2020-07-17 15:59:59.680000000,1,4,5,20.0,18.946608931698307,,,2020-07-19 03:15:13.974547560,1 days 11:15:14.294547560,0,3.014273676370595,12.833333333333334
2020-07-17 16:59:59.675000000,1,6,5,13.0,19.25632802405131,,,2020-07-19 03:15:13.974547560,1 days 10:15:14.299547560,0,24.46803439482078,14.666666666666666
2020-07-17 17:59:59.670000000,1,4,8,18.0,25.568709719133672,,,2020-07-19 03:15:13.974547560,1 days 09:15:14.304547560,0,6.189075059517038,17.333333333333332
2020-07-17 18:59:59.665000000,1,5,1,10.0,20.766889697846448,,,2020-07-19 03:15:13.974547560,1 days 08:15:14.309547560,0,9.274825341116202,14.5
2020-07-17 19:59:59.660000000,1,3,2,19.0,17.937668512732422,,,2020-07-19 03:15:13.974547560,1 days 07:15:14.314547560,0,24.010380214390743,15.333333333333334
2020-07-17 20:59:59.655000000,1,7,4,15.0,15.56597013919805,,,2020-07-19 03:15:13.974547560,1 days 06:15:14.319547560,0,3.0975564927397374,14.833333333333334
2020-07-17 21:59:59.650000000,1,6,2,20.0,14.299001488209381,,,2020-07-19 03:15:13.974547560,1 days 05:15:14.324547560,0,4.444119354119516,16.333333333333332
2020-07-17 22:59:59.645000000,1,3,5,18.0,11.463146572251038,,,2020-07-19 03:15:13.974547560,1 days 04:15:14.329547560,0,4.346667751644666,15.833333333333334
2020-07-17 23:59:59.640000000,1,8,3,15.0,42.96685250138778,,,2020-07-19 03:15:13.974547560,1 days 03:15:14.334547560,0,3.0712043713241295,14.333333333333334
2020-07-18 00:59:59.635000000,1,9,5,20.0,41.89333452533089,,,2020-07-19 03:15:13.974547560,1 days 02:15:14.339547560,0,23.399115284025235,14.166666666666666
2020-07-18 01:59:59.630000000,1,4,3,11.0,41.97843942646745,,,2020-07-19 03:15:13.974547560,1 days 01:15:14.344547560,0,1.24304782524104,16.333333333333332
2020-07-18 02:59:59.625000000,1,10,3,10.0,31.084561446011712,,,2020-07-19 03:15:13.974547560,1 days 00:15:14.349547560,0,1.0029694386669614,16.666666666666668
2020-07-18 03:59:59.620000000,1,8,3,16.0,34.2616472938846,,,2020-07-19 03:15:13.974547560,0 days 23:15:14.354547560,0,1.6375634825262309,15.0
2020-07-18 04:59:59.615000000,1,7,9,18.0,31.528377396404647,,,2020-07-19 03:15:13.974547560,0 days 22:15:14.359547560,0,3.7602059913586956,13.666666666666666
2020-07-18 05:59:59.610000000,1,9,4,16.0,29.947776940663434,,,2020-07-19 03:15:13.974547560,0 days 21:15:14.364547560,0,2.5961698560573243,14.833333333333334
2020-07-18 06:59:59.605000000,1,7,3,12.0,34.71779327895514,,,2020-07-19 03:15:13.974547560,0 days 20:15:14.369547560,0,3.0309979504315216,16.333333333333332
2020-07-18 07:59:59.600000000,1,8,3,20.0,30.889208545683445,,,2020-07-19 03:15:13.974547560,0 days 19:15:14.374547560,0,2.196090536779123,16.333333333333332
2020-07-18 08:59:59.595000000,1,3,5,12.0,32.16862089044488,,,2020-07-19 03:15:13.974547560,0 days 18:15:14.379547560,0,39.209110652446135,13.166666666666666
2020-07-18 09:59:59.590000000,1,2,4,20.0,29.06251109688893,,,2020-07-19 03:15:13.974547560,0 days 17:15:14.384547560,0,5.140580614644792,15.5
2020-07-18 10:59:59.585000000,1,2,4,17.0,33.140905022781574,,,2020-07-19 03:15:13.974547560,0 days 16:15:14.389547560,0,7.303635385315061,14.666666666666666
2020-07-18 11:59:59.580000000,1,7,5,11.0,27.6529476527135,,,2020-07-19 03:15:13.974547560,0 days 15:15:14.394547560,0,,
2020-07-18 12:59:59.575000000,1,8,7,18.0,30.339097947404188,,,2020-07-19 03:15:13.974547560,0 days 14:15:14.399547560,0,5.306144753392616,14.75
2020-07-18 13:59:59.570000000,1,8,1,14.0,29.521465339412178,,,2020-07-19 03:15:13.974547560,0 days 13:15:14.404547560,0,3.2091601663999345,15.166666666666666
2020-07-18 14:59:59.565000000,1,4,8,18.0,19.420625118712906,,,2020-07-19 03:15:13.974547560,0 days 12:15:14.409547560,0,5.559344772696517,15.0
2020-07-18 15:59:59.560000000,1,3,4,19.0,21.178267745859443,,,2020-07-19 03:15:13.974547560,0 days 11:15:14.414547560,0,4.978858812336037,15.166666666666666
2020-07-18 16:59:59.555000000,1,4,7,12.0,22.97724169185127,,,2020-07-19 03:15:13.974547560,0 days 10:15:14.419547560,0,3.258723747929946,15.0
2020-07-18 17:59:59.550000000,1,4,9,18.0,17.857314414713684,,,2020-07-19 03:15:13.974547560,0 days 09:15:14.424547560,0,2.685728821675667,14.916666666666666
2020-07-18 18:59:59.545000000,1,3,5,19.0,15.370641179365352,,,2020-07-19 03:15:13.974547560,0 days 08:15:14.429547560,0,2.6767187345181775,15.0
2020-07-18 19:59:59.540000000,1,1,7,20.0,14.406818208422091,,,2020-07-19 03:15:13.974547560,0 days 07:15:14.434547560,0,2.1037451675891354,14.75
2020-07-18 20:59:59.535000000,1,5,1,15.0,17.82202473839646,,,2020-07-19 03:15:13.974547560,0 days 06:15:14.439547560,0,4.5971253013794104,15.0
2020-07-18 21:59:59.530000000,1,1,2,12.0,12.464089777959394,,,2020-07-19 03:15:13.974547560,0 days 05:15:14.444547560,0,3.2759781751260335,15.166666666666666
2020-07-18 22:59:59.525000000,1,4,3,17.0,15.235807947631619,,,2020-07-19 03:15:13.974547560,0 days 04:15:14.449547560,0,4.701419973805816,14.75
2020-07-18 23:59:59.520000000,1,10,1,13.0,37.19685235688343,,,2020-07-19 03:15:13.974547560,0 days 03:15:14.454547560,0,3.7367250425531178,14.916666666666666
2020-07-19 00:59:59.515000000,1,6,1,17.0,38.3580041427071,,,2020-07-19 03:15:13.974547560,0 days 02:15:14.459547560,0,2.831356492194439,14.833333333333334
2020-07-19 01:59:59.510000000,1,5,6,12.0,33.32000235737171,,,2020-07-19 03:15:13.974547560,0 days 01:15:14.464547560,0,1.362690397560336,15.166666666666666
2020-07-19 02:59:59.505000000,1,1,7,16.0,35.45773212133965,,,2020-07-19 03:15:13.974547560,0 days 00:15:14.469547560,1,4.419213919113661,15.0
2020-07-19 03:59:59.505000000,1,8,6,19.0,39.97837892324351,,,2020-07-20 02:29:16.933426440,0 days 22:29:17.428426440,0,4.612812572604598,14.75
2020-07-19 04:59:59.505000000,1,9,4,17.0,30.857563614405233,,,2020-07-20 02:29:16.933426440,0 days 21:29:17.428426440,0,2.7809822301805327,15.0
2020-07-19 05:59:59.505000000,1,8,6,10.0,30.610822442904173,,,2020-07-20 02:29:16.933426440,0 days 20:29:17.428426440,0,4.157549382528189,14.916666666666666
2020-07-19 06:59:59.505000000,1,6,1,11.0,33.479030088035515,,,2020-07-20 02:29:16.933426440,0 days 19:29:17.428426440,0,4.375885213729945,15.0
2020-07-19 07:59:59.505000000,1,5,6,20.0,33.11946043046163,,,2020-07-20 02:29:16.933426440,0 days 18:29:17.428426440,0,5.841426766753642,14.916666666666666
2020-07-19 08:59:59.505000000,1,10,3,16.0,28.26068374593017,,,2020-07-20 02:29:16.933426440,0 days 17:29:17.428426440,0,4.6255899100438675,14.833333333333334
2020-07-19 09:59:59.505000000,1,4,3,19.0,30.33289742865141,,,2020-07-20 02:29:16.933426440,0 days 16:29:17.428426440,0,6.112162511534121,14.75
2020-07-19 10:59:59.505000000,1,5,2,15.0,24.98856518675697,,,2020-07-20 02:29:16.933426440,0 days 15:29:17.428426440,0,4.671619575214721,14.75
2020-07-19 11:59:59.505000000,1,5,4,13.0,22.755565896091248,,,2020-07-20 02:29:16.933426440,0 days 14:29:17.428426440,0,3.3976123739749653,15.166666666666666
2020-07-19 12:59:59.505000000,1,2,3,10.0,31.60285986339725,,,2020-07-20 02:29:16.933426440,0 days 13:29:17.428426440,0,2.6443773618642132,15.0
2020-07-19 13:59:59.505000000,1,3,8,10.0,23.169417694154586,,,2020-07-20 02:29:16.933426440,0 days 12:29:17.428426440,0,4.186657644622656,15.083333333333334
2020-07-19 14:59:59.505000000,1,10,5,18.0,24.503324362707158,,,2020-07-20 02:29:16.933426440,0 days 11:29:17.428426440,0,3.250408545027699,14.833333333333334
2020-07-19 15:59:59.505000000,1,8,5,20.0,19.836435936184586,,,2020-07-20 02:29:16.933426440,0 days 10:29:17.428426440,0,,
2020-07-19 16:59:59.505000000,1,6,2,16.0,24.081298840388133,,,2020-07-20 02:29:16.933426440,0 days 09:29:17.428426440,0,3.174938258399674e-06,14.833333333333334
2020-07-19 17:59:59.505000000,1,5,1,16.0,22.553429104246216,,,2020-07-20 02:29:16.933426440,0 days 08:29:17.428426440,0,3.174938258399674e-06,14.916666666666666
2020-07-19 18:59:59.505000000,1,5,10,11.0,21.78264462789186,,,2020-07-20 02:29:16.933426440,0 days 07:29:17.428426440,0,3.174938258399674e-06,15.0
2020-07-19 19:59:59.505000000,1,10,5,18.0,23.940871487892963,,,2020-07-20 02:29:16.933426440,0 days 06:29:17.428426440,0,3.174938258399674e-06,15.166666666666666
2020-07-19 20:59:59.505000000,1,9,5,13.0,16.718100944308006,,,2020-07-20 02:29:16.933426440,0 days 05:29:17.428426440,0,3.174938258399674e-06,14.833333333333334
2020-07-19 21:59:59.505000000,1,8,6,11.0,16.17590418939718,,,2020-07-20 02:29:16.933426440,0 days 04:29:17.428426440,0,3.174938258399674e-06,14.916666666666666
2020-07-19 22:59:59.505000000,1,3,5,13.0,17.372511145268508,,,2020-07-20 02:29:16.933426440,0 days 03:29:17.428426440,0,3.174938258399674e-06,15.0
2020-07-19 23:59:59.505000000,1,7,6,10.0,37.97002412316023,,,2020-07-20 02:29:16.933426440,0 days 02:29:17.428426440,0,3.174938258399674e-06,14.916666666666666
2020-07-20 00:59:59.505000000,1,7,5,18.0,40.879805856843355,,,2020-07-20 02:29:16.933426440,0 days 01:29:17.428426440,0,3.174938258399674e-06,15.0
2020-07-20 01:59:59.505000000,1,7,7,19.0,41.46629463200522,,,2020-07-20 02:29:16.933426440,0 days 00:29:17.428426440,1,3.174938258399674e-06,14.75
2020-07-20 02:59:59.505000000,1,1,10,12.0,36.15924829535341,,,2020-07-20 03:44:27.185968560,0 days 00:44:27.680968560,1,3.174938258399674e-06,15.0
2020-07-20 03:59:59.505000000,1,4,2,10.0,36.34791980666167,,,2020-07-20 09:13:15.251902860,0 days 05:13:15.746902860,0,3.174938258399674e-06,14.75
2020-07-20 04:59:59.505000000,1,5,5,12.0,36.08542108356411,,,2020-07-20 09:13:15.251902860,0 days 04:13:15.746902860,0,3.174938258399674e-06,15.166666666666666
2020-07-20 05:59:59.505000000,1,9,2,17.0,33.25341254512421,,,2020-07-20 09:13:15.251902860,0 days 03:13:15.746902860,0,3.174938258399674e-06,14.75
2020-07-20 06:59:59.505000000,1,3,4,10.0,27.545703552601356,,,2020-07-20 09:13:15.251902860,0 days 02:13:15.746902860,0,3.174938258399674e-06,15.0
2020-07-20 07:59:59.505000000,1,9,9,15.0,31.212449063319863,,,2020-07-20 09:13:15.251902860,0 days 01:13:15.746902860,0,3.174938258399674e-06,15.166666666666666
2020-07-20 08:59:59.505000000,1,8,9,11.0,25.093647101411282,,,2020-07-20 09:13:15.251902860,0 days 00:13:15.746902860,1,3.174938258399674e-06,14.75
2020-07-20 09:59:59.505000000,1,10,8,14.0,25.63853474654023,,,2020-07-20 10:08:32.876707920,0 days 00:08:33.371707920,1,3.174938258399674e-06,15.083333333333334
2020-07-20 10:59:59.505000000,1,2,6,17.0,27.68936899292162,,,,,0,3.174938258399674e-06,14.75
2020-07-20 11:59:59.505000000,1,9,4,17.0,29.437680944374403,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-20 12:59:59.505000000,1,9,6,20.0,27.76558504241085,,,,,0,3.174938258399674e-06,15.0
2020-07-20 13:59:59.505000000,1,8,6,12.0,20.226831844132978,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-20 14:59:59.505000000,1,8,3,14.0,29.490261959075603,,,,,0,3.174938258399674e-06,15.0
2020-07-20 15:59:59.505000000,1,8,4,20.0,19.43934251036536,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-20 16:59:59.505000000,1,2,8,19.0,21.912945058756677,,,,,0,3.174938258399674e-06,14.833333333333334
2020-07-20 17:59:59.505000000,1,10,7,12.0,20.850153824733745,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-20 18:59:59.505000000,1,2,4,10.0,20.928650813716285,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-20 19:59:59.505000000,1,8,7,17.0,19.021747209927074,,,,,0,,
2020-07-20 20:59:59.505000000,1,4,1,19.0,18.494874010423374,,,,,0,3.174938258399674e-06,14.833333333333334
2020-07-20 21:59:59.505000000,1,3,9,16.0,21.379615184540548,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-20 22:59:59.505000000,1,9,3,11.0,18.36580409513345,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-20 23:59:59.505000000,1,2,3,15.0,41.145521351362966,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-21 00:59:59.505000000,1,8,7,14.0,38.902694876210376,,,,,0,3.174938258399674e-06,15.0
2020-07-21 01:59:59.505000000,1,3,3,11.0,32.277054046002604,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-21 02:59:59.505000000,1,5,4,12.0,36.784729566386474,,,,,0,3.174938258399674e-06,14.75
2020-07-21 03:59:59.505000000,1,4,4,19.0,36.96444709154152,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-21 04:59:59.505000000,1,5,3,20.0,39.40595015360517,,,,,0,3.174938258399674e-06,15.0
2020-07-21 05:59:59.505000000,1,3,8,16.0,32.394364813046714,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-21 06:59:59.505000000,1,3,10,14.0,35.63120041359626,,,,,0,3.174938258399674e-06,14.75
2020-07-21 07:59:59.505000000,1,2,9,10.0,26.04876620880301,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-21 08:59:59.505000000,1,7,5,18.0,25.15632397322887,,,,,0,3.174938258399674e-06,15.0
2020-07-21 09:59:59.505000000,1,1,6,16.0,26.16793482119921,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-21 10:59:59.505000000,1,2,1,15.0,27.286228885758902,,,,,0,3.174938258399674e-06,14.833333333333334
2020-07-21 11:59:59.505000000,1,1,1,10.0,26.66867893048304,,,,,0,3.174938258399674e-06,15.083333333333334
2020-07-21 12:59:59.505000000,1,7,6,16.0,21.14366121004392,,,,,0,3.174938258399674e-06,15.0
2020-07-21 13:59:59.505000000,1,7,4,14.0,22.976603345261157,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-21 14:59:59.505000000,1,6,7,20.0,24.582622953315038,,,,,0,3.174938258399674e-06,14.75
2020-07-21 15:59:59.505000000,1,3,6,12.0,24.22379083352848,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-21 16:59:59.505000000,1,4,1,18.0,19.047609247276355,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-21 17:59:59.505000000,1,3,6,17.0,20.308914925896687,,,,,0,3.174938258399674e-06,15.083333333333334
2020-07-21 18:59:59.505000000,1,3,7,13.0,22.699326731012093,,,,,0,3.174938258399674e-06,14.833333333333334
2020-07-21 19:59:59.505000000,1,4,1,17.0,22.521545145779015,,,,,0,3.174938258399674e-06,15.166666666666666
2020-07-21 20:59:59.505000000,1,10,6,14.0,22.740436693104574,,,,,0,3.174938258399674e-06,15.0
2020-07-21 21:59:59.505000000,1,4,2,12.0,16.359486400285494,,,,,0,3.174938258399674e-06,14.916666666666666
2020-07-21 22:59:59.505000000,1,6,5,12.0,11.77368785002281,,,,,0,3.174938258399674e-06,13.666666666666666
2020-07-15 00:00:00.000000000,2,3,10,16.0,22.3,,,2020-07-15 07:11:50.319233260,0 days 07:11:50.319233260,0,,
2020-07-15 01:00:00.000000000,2,4,5,15.0,23.312632849284803,,,2020-07-15 07:11:50.319233260,0 days 06:11:50.319233260,0,4.417007671809059,14.666666666666666
2020-07-15 01:59:59.990000000,2,6,1,12.0,21.99689879107511,,,2020-07-15 07:11:50.319233260,0 days 05:11:50.329233260,0,3.7436619376783598,16.833333333333332
2020-07-15 02:59:59.985000000,2,9,5,12.0,27.15141939545927,,,2020-07-15 07:11:50.319233260,0 days 04:11:50.334233260,0,3.6789880258016514,13.833333333333334
2020-07-15 03:59:59.980000000,2,9,4,16.0,30.699782998235413,,,2020-07-15 07:11:50.319233260,0 days 03:11:50.339233260,0,9.05525251811623,14.333333333333334
2020-07-15 04:59:59.975000000,2,4,4,17.0,32.760785155205845,,,2020-07-15 07:11:50.319233260,0 days 02:11:50.344233260,0,4.298221686370511,16.333333333333332
